HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SUPPORT_CODE	SUPPORT_NO	HANGER_SIZE	HANGER_HEIGHT	TRO_ANGLE	HANGER_LENGTH	HANGER_TYPE_LABEL	SystemId	Description	DimensionalDescription	Material	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	Object Length	SLOPE ANGLE	Object Weight
'2D5BAC	ELECT_HANGER_S-TYPE	2D2P	03	<>	<>	NO	<>	<>	<>	200A	H=130	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D56FA	ELECT_HANGER_H-TYPE	2D2P	04	<>	<>	NO	<>	<>	<>	200A	H=140	<>	(900)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C9708	ELECT_BRACKET	2D1P	I	<>	<>	<>	<>	I-25-55	122	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C96B2	ELECT_BRACKET	2D1P	I	<>	<>	<>	<>	I-25-60/59	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C9579	ELECT_BRACKET	2D1P	F	<>	<>	<>	<>	I-25-75	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C9275	ELECT_BRACKET	2D2P	M	<>	<>	<>	<>	E-71-85/65	120	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C9163	ELECT_BRACKET	2D2P	M	<>	<>	<>	<>	U-60-29	118	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C8D2B	ELECT_BRACKET	2D2P	N	<>	<>	<>	<>	E-71-85/70	119	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C8384	ELECT_BRACKET	2D2P	P	<>	<>	<>	<>	E-71-85/55	107	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C7E4E	ELECT_BRACKET	2D1P	L	<>	<>	<>	<>	U-60-19	116	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C7D4E	ELECT_BRACKET	2D1P	L	<>	<>	<>	<>	E-71-75/60	115	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C7B95	ELECT_BRACKET	2D2P	S	<>	<>	<>	<>	U-60-45	114	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C7B1C	ELECT_BRACKET	2D2P	R	<>	<>	<>	<>	U-60-60	113	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C688A	ELECT_BRACKET	2D2P	S	<>	<>	<>	<>	U-60-60	113	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C5DA6	ELECT_BRACKET	2D1P	E	<>	<>	<>	<>	U-60-85	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C5C6C	ELECT_BRACKET	2D1P	E	<>	<>	<>	<>	U-60-85	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C5B2E	ELECT_BRACKET	2D1P	C	<>	<>	<>	<>	U-60-70	111	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C5A9D	ELECT_BRACKET	2D1P	C	<>	<>	<>	<>	U-60-85	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C542D	ELECT_BRACKET	2D1P	C	<>	<>	<>	<>	U-60-85	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C53B9	ELECT_BRACKET	2D1P	A	<>	<>	<>	<>	E-88-70	109	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C4279	ELECT_BRACKET	2D2P	L	<>	<>	<>	<>	E-71-85/55	107	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C3F4C	ELECT_BRACKET	2D2P	K	<>	<>	<>	<>	E-71-85/55	107	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C3836	ELECT_BRACKET	2D2P	K	<>	<>	<>	<>	E-71-85/55	107	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C380F	ELECT_BRACKET	2D2P	J	<>	<>	<>	<>	E-71-85/55	107	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C36BE	ELECT_BRACKET	2D2P	I	<>	<>	<>	<>	E-71-29	137	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C2610	ELECT_BRACKET	2D2P	H	<>	<>	<>	<>	E-61-85/55	106	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C246D	ELECT_BRACKET	2D2P	F	<>	<>	<>	<>	U-50-85	104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C2225	ELECT_BRACKET	2D2P	F	<>	<>	<>	<>	U-50-85	104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C20FF	ELECT_BRACKET	2D2P	E	<>	<>	<>	<>	I-25-70	103	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C1FC0	ELECT_BRACKET	2D2P	C	<>	<>	<>	<>	L-27-85	138	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C1FB8	ELECT_BRACKET	2D2P	C	<>	<>	<>	<>	E-35-85/14	102	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C1D5D	ELECT_BRACKET	2D2P	A	<>	<>	<>	<>	I-25-85	101	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C15E4	ELECT_BRACKET	2D2P	A	<>	<>	<>	<>	I-25-85	101	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C10AE	ELECT_CWAY_TRAYBLOCK_A	2D1P	K	To-25-3	H=550	NO	I	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C1056	ELECT_CWAY_TRAYBLOCK_A	2D1P	G	To-25-3	H=750	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C0467	ELECT_CWAY_TRAYBLOCK_A	2D1P	F	To-25-18.9	H=750	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C0421	ELECT_CWAY_TRAYBLOCK_A	2D1P	E	To-60-19.7	H=850	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C03C4	ELECT_CWAY_TRAYBLOCK_A	2D1P	D	To-60-16		NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2C0057	ELECT_CWAY_TRAY_BLOCK_TRO	2D1P	B	TRo-60	H=850	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BFE09	ELECT_CWAY_TRAYBLOCK_A	2D2P	Q	To-60-6.2	H=750	YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BF51A	ELECT_CWAY_TRAYBLOCK_A	2D2P	G	To-50-7.3	H=850	NO	G	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BF4C2	ELECT_CWAY_TRAYBLOCK_A	2D2P	F	To-50-24.4	H=850	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2BF44C	ELECT_CWAY_TRAYBLOCK_A	2D2P	E	To-25-7	H=850	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
