HANDLE	BLOCKNAME	BLOCK	NO	HANGER_SIZE	HANGER_HEIGHT	AT_SITE	HANGER_TYPE_LABEL	HANGER_LENGTH	TRAY_SIZE	TRAY_HEIGHT	TRO_ANGLE	SUPPORT_CODE	SUPPORT_NO	NO_OF_LUGS	SystemId	Description	DimensionalDescription	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight	spoolName	PipelineId	Material
'33D6F2	ELECT_CWAY_TRAYBLOCK_A	2D2S	A	<>	<>	YES	<>	<>	To-30-3	H=950	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A073	ELECT_CWAY_TRAYBLOCK_A	2D2P	B	<>	<>	NO	<>	<>	To-40-24.4	H=950	<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A089	ELECT_BRACKET	2D2P	B	<>	<>	<>	<>	<>	<>	<>	<>	I-40-95/19	126	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A065	ELECT_CWAY_TRAYBLOCK_A	2D2P	C	<>	<>	NO	<>	<>	To-40-24.4		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A05E	ELECT_BRACKET	2D2P	C	<>	<>	<>	<>	<>	<>	<>	<>	I-40-85	124	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A050	ELECT_BRACKET	2D2P	D	<>	<>	<>	<>	<>	<>	<>	<>	I-40-20	120	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A043	ELECT_HANGER_S-TYPE	2D2P	12	600A	H=750/300	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A02E	ELECT_HANGER_S-TYPE	2D2P	11	600A	H=850	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A012	ELECT_BRACKET	2D2P	E	<>	<>	<>	<>	<>	<>	<>	<>	U-60-95	111	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339FA6	ELECT_CWAY_TRAYBLOCK_A	2D2P	G	<>	<>	NO	<>	<>	To-60-9.9		<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A020	ELECT_HANGER_SX-TYPE	2D2P	04	250A	H=400	NO	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A00C	ELECT_BRACKET	2D2P	E	<>	<>	<>	<>	<>	<>	<>	<>	U-60-95	111	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A018	ELECT_CWAY_TRAYBLOCK_A	2D2P	E	<>	<>	NO	<>	<>	To-60-8	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F80	ELECT_BRACKET	2D2P	I	<>	<>	<>	<>	<>	<>	<>	<>	I-20-75/60	109	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339FA0	ELECT_BRACKET	2D2P	G	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F65	ELECT_BRACKET	2D2P	J	<>	<>	<>	<>	<>	<>	<>	<>	U-60-19	128	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F92	ELECT_CWAY_TRAYBLOCK_A	2D2P	I	<>	<>	NO	<>	<>	To-20-11	H=750	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F79	ELECT_BRACKET	2D2P	H	<>	<>	<>	<>	<>	<>	<>	<>	E-70-85	103	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F5E	ELECT_BRACKET	2D2P	N	<>	<>	<>	<>	<>	<>	<>	<>	I-40-19	119	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F36	ELECT_CWAY_TRAYBLOCK_A	2D2P	O	<>	<>	NO	<>	<>	To-40-24.4	H=950	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F56	ELECT_CWAY_TRAYBLOCK_A	2D2P	J	<>	<>	NO	<>	<>	To-60-22.2		<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
